name,roaster,roast,loc_country,origin_1,origin_2,100g_USD,rating,review_date,desc_1
Colombia Chiroso Natural,Paradise Roasters,Light,United States,Caicedo,Antioquia Department,22,93,21-Apr,"Crisply sweet-tart, high-toned. Meyer lemon zest, cocoa nib, hazelnut, dried hibiscus flower, marjoram in aroma and cup. Bright, tart-leaning structure with juicy acidity; delicate, silky mouthfeel. Citrusy finish supported by tart florals and cocoa nib."
Flight Seasonal Espresso,Red Rooster Coffee Roaster,Medium-Light,United States,Ethiopia,Dominican Republic,5.58,95,21-Apr,"Evaluated as espresso. Richly spice-toned, deeply floral. Honeysuckle, black cherry, baking spices, dark chocolate, amber in aroma and small cup. Plush, syrupy-smooth mouthfeel; finely balanced, flavor-saturated finish. The milk shot amplifies floral tones suggesting honeysuckle with undertones of black cherry and warming spices. "
Panama Boquete Flor De Mariposa Geisha Espresso,Kakalove Cafe,Medium-Light,Taiwan,Boquete Growing Region,Western Panama,7.08,96,21-Mar,"Evaluated as espresso. Richly floral, complex, nuanced. Lilac, dark chocolate, black cherry, myrrh, lemon-thyme in aroma and small cup. Very syrupy-smooth mouthfeel; deep, rich, flavor-laden finish. This coffee particularly impresses in three parts milk, with lyric, lilac top notes, rich, fudge-like bottom notes, and black cherry, myrrh and lemon thyme in the mid-palate."
Guji Ethiopia Washed,Peach Coffee Roasters,Light,United States,Guji Zone,Oromia Region,5.29,94,21-Mar,"Subtly complex, deeply sweet. Star jasmine, cocoa nib, mango, frankincense, spearmint in aroma and cup. Bright, juicy acidity; viscous, syrupy mouthfeel. The balanced finish leads with notes of star jasmine and mango, followed by cocoa suggestions."
Colombia Monteblanco Geisha,Merge Coffee Company,Light,United States,Huila Department,Colombia,8.81,94,21-Mar,"Delicate, high-toned, complex. Guava, cocoa nib, narcissus, sandalwood, hazelnut butter in aroma and cup. Sweet-tart structure with bright, juicy acidity; very smooth, syrupy mouthfeel. Resonant finish consolidates to attractive notes of guava and cocoa nib."
Costa Rica Aris Red Honey Lot 2002 Espresso,Kakalove Cafe,Medium-Light,Taiwan,Central Valley,Costa Rica,3.82,94,21-Mar,"Evaluated as espresso. Richly aromatic, deeply fruit-toned. Dried apricot, sandalwood, narcissus, almond, dark chocolate in aroma and small cup. Viscous, syrupy mouthfeel; quiet, cleanly fruit-centered finish. In cappuccino-scaled milk, apricot and narcissus notes particularly please."
Belquis Ramirez Lemus Colombia Coffee for Peace,True Coffee Roasters,Medium-Light,United States,Cauca Department,Colombia,3.96,92,21-Mar,"Balanced, bright. Cocoa nib, orange zest, almond brittle, plum, cedar in aroma and cup. Sweet-toned with juicy, high-toned acidity; crisp, velvety mouthfeel. Quiet finish that leads with notes of cocoa nib and orange zest, rounding to cedar in the long."
Asprole Blend #1 Colombia Coffee for Peace,True Coffee Roasters,Medium-Light,United States,Cauca Department,Colombia,3.96,92,21-Mar,"Crisply sweet, chocolaty. Baking chocolate, apricot, lemon verbena, fresh-cut fir, nougat in aroma and cup. Sweet in structure with brisk acidity; crisp, satiny-smooth mouthfeel. The finish centers around notes of baking chocolate, fir, and lemon verbena."
Ethiopia Harsu Haro Single-Origin Espresso,Temple Coffee Roasters,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,6.76,93,21-Apr,"Evaluated as espresso. Bright, juicy, cleanly fruit-forward. Dark chocolate, pomegranate, tangerine zest, brown sugar, oak in aroma and small cup. Satiny-smooth mouthfeel; the crisply sweet finish leads with pomegranate and brown sugar notes, followed by fresh-cut oak. Pomegranate and dark chocolate saturate the rich milk shot."
Ethiopia Yirgacheffe Heyilu Butiya,Coffee By Design,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,4.08,93,21-Apr,"Richly sweet, deeply berry-toned. Dried blueberry, rhododendron, lime zest, dark chocolate, cedar in aroma and cup. Sweet-toned structure with gentle, round acidity; very syrupy mouthfeel. The finish consolidates to notes of dried blueberry and dark chocolate with cedar undertones."
Sumatra Kerinci Highlands Honey,RamsHead Coffee Roasters,Medium-Light,United States,Kerinci Highlands,Jambi Province,5.28,92,21-Apr,"Delicately sweet-savory. Lychee, hyacinth, Chinese five-spice, almond, cedar in aroma and cup. Sweet-savory structure with brisk acidity; velvety mouthfeel. Spice-toned finish with notes of Chinese five-spice supported by almond and cedar."
Rwanda Sholi,Indaba Coffee Roasters,Medium-Light,United States,Muhanga District,Southern Province,4.7,92,21-Apr,"Spice-toned, richly floral. Lavender, cashew butter, apricot, fir, cane sugar in aroma and cup. Crisply sweet structure with brisk acidity; satiny mouthfeel. Wood-framed finish with undertones of lavender and cashew."
Guatemala Villatoro Anaerobic,Indaba Coffee Roasters,Medium-Light,United States,Huehuetenango Growing Region,Guatemala,8.82,92,21-Apr,"Sweet-savory, deeply aromatic. Dried raspberry, young goat cheese, vanilla, dark chocolate, barley in aroma and cup. Savory-leaning structure with sweet-tart lactic acidity; syrupy-smooth mouthfeel. Fruit-toned, chocolaty finish with a lactic tang."
Guatemala Monja Blanca,Indaba Coffee Roasters,Medium-Light,United States,Atitlán Growing Region,Guatemala,4.7,91,21-Apr,"Crisply sweet-tart, nut-toned. Green apple, almond brittle, magnolia, thyme, cedar in aroma and cup. Sweet-tart structure with brisk acidity; delicate, satiny mouthfeel. Quiet, sweetly nut-toned finish."
Ethiopia Wuri Washed,Indaba Coffee Roasters,Light,United States,Gedeb District,Gedeo Zone,4.7,91,21-Apr,"Gently crisp, sweet-toned. Honeydew melon, baking chocolate, hazelnut, fir, lemon verbena in aroma and cup. Sweet in structure with pert acidity; lightly satiny mouthfeel. Nut-toned finish with undertones of aromatic wood."
Sumatra Ketiara,Indaba Coffee Roasters,Medium-Light,United States,Bebesen District,Aceh Tengah,4.7,90,21-Apr,"Citrusy, richly earth-toned. Orange zest, fresh-cut oak, green grape, hibiscus flower, Brazil nut in aroma and cup. Savory-sweet structure with low-toned acidity; smooth, velvety mouthfeel. Richly earth-toned finish with notes of oak, Brazil nut and orange zest."
Ethiopia Amhara Natural,Indaba Coffee Roasters,Medium-Light,United States,Amhara Region,Ethiopia,4.7,90,21-Apr,"Deeply sweet, fruit-toned. Golden raisin, lime zest, freesia-like flowers, oak, honey in aroma and cup. Sweet-toned structure with gentle, round acidity; lightly syrupy mouthfeel. Finish leads with notes of raisin and freesia supported by oak and lime zest."
Kona Mocca®,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Holualoa,North Kona Growing District,38.58,96,21-Apr,"Lyrically sweet, luxuriously chocolaty. Chocolate fudge, tamarind, sandalwood, narcissus, a hint of wine barrel in aroma and cup. Sweetly tart structure with vibrant, juicy acidity; plush, creamy mouthfeel. The finish resolves around chocolate fudge and tamarind with undertones of rich sandalwood."
Panama Elida Green-Tip Geisha La Torre ASD,Willoughby's Coffee & Tea,Light,United States,Boquete Growing Region,Western Panama,26.46,95,21-Apr,"Richly aromatic, tropical. Lychee, pineapple, cocoa nib, lemon verbena, ginger blossom in aroma and cup. Sweetly tart with bright, juicy acidity; full, syrupy-smooth mouthfeel. Long, resonant, flavor-saturated finish."
Kona Peaberry,Big Island Coffee Roasters,Medium-Light,Hawai'i,Kona Growing Region,Big Island Of Hawai’I,12.35,94,21-Apr,"Balanced, deep-toned, floral. Honeysuckle, apricot, almond butter, dark chocolate, a hint of thyme in aroma and cup. Sweet structure with comfortable, straightforward acidity; plush, viscous mouthfeel. Floral-driven finish with undertones of dark chocolate and almond."
Panama Finca Los Lajones Natural,Bird Rock Coffee Roasters,Light,United States,Boquete Growing Region,Panama,8.52,94,21-Apr,"Richly sweet-tart, cleanly fruit-toned. Pineapple guava, rhododendron, cocoa nib, cane sugar, a hint of spearmint in aroma and cup. Brightly sweet with citrusy acidity; full, satiny-smooth mouthfeel. The crisp, lingering finish centers around notes of rhododendron and spearmint."
SL28,Hala Tree Kona Coffee,Medium-Light,Hawai'i,North Kona Growing District,“Big Island” Of Hawai’I,14.55,94,21-Apr,"Crisply sweet-tart, balanced, bright. Nectarine, narcissus, Meyer lemon zest, nougat, cedar in aroma and cup. Sweetly tart structure with lively, almost effervescent acidity; satiny-smooth, fluffy mouthfeel. The lingering finish leads with notes of nectarine and narcissus, rounding to nougat in the long."
Bourbon Pointu Natural,Kona Farm Direct,Medium-Light,Hawai'i,Kona Growing Region,Big Island Of Hawai’I,25.2,94,21-Apr,"Delicately sweet, deeply fruit-toned. Goji berry, alyssum, almond brittle, marjoram, sandalwood in aroma and cup. Sweet structure with high-toned acidity; very full, viscous mouthfeel. Finish consolidates to notes of goji berry and almond brittle."
Honey Honduras Comsa,Amavida Coffee Roasters,Medium-Light,United States,Marcala,La Paz Department,5.29,93,21-Apr,"Gently fruit-forward. Dried apricot, almond brittle, vanilla, freesia-like flowers, fresh-cut fir in aroma and cup. Sweet-toned with brisk acidity; viscous, satiny mouthfeel. The finish consolidates to vanilla, almond brittle and fresh-cut fir."
Honduras Los Amigos,Modern Times Coffee,Medium-Light,United States,El Soccoro,Honduras,4.7,93,21-Apr," Sweetly tart, juicy-rich. Pie cherry, dark chocolate, orange zest, maple syrup, hazelnut in aroma and cup. Tart-leaning structure with bold acidity; velvety mouthfeel. The finish consolidates around dark chocolate and orange zest with undertones of hazelnut."
Miranda’s Farms Hawai’i Caturra,Origin Coffee Roasters,Medium-Light,Hawai'i,Ka'U District,Big Island Of Hawai’I,13.82,93,21-Apr," Deeply sweet-savory, berry-toned. Mulberry, brown sugar, Meyer lemon zest, dark chocolate, hop flowers in aroma and cup. Sweet-savory structure with gentle, round acidity; very full, syrupy mouthfeel. Richly bittersweet finish with notes of brown sugar, dark chocolate, and hop flowers."
Uganda Utz Sipi Falls,Islamorada Coffee Roasters,Medium-Light,United States,Sipi Falls,Bugisu Region,5.88,91,21-Apr,"Deeply rich and sweet. Molasses, dark chocolate, almond, lily, date in aroma and cup. Sweet-toned structure with gentle, round acidity; velvety mouthfeel. Crisp, quiet finish centers around notes of dark chocolate and almond."
Kenya Washed Nakuru Gachombe Factory AB,Kakalove Cafe,Medium-Light,Taiwan,Nakuru County,Kenya,2.97,95,21-Apr,"Evaluated as espresso. Richly aromatic, deeply sweet-savory, floral-toned. Hop flowers, lilac, butterscotch, almond brittle, date in aroma and small cup. Syrupy-smooth mouthfeel; resonant, lasting finish redolent of both sweet and savory florals and deep nut-butter tones."
Ethiopia Natural Guji Hambella Wate Peaberry,Kakalove Cafe,Light,Taiwan,Guji Zone,Oromia Region,5.31,95,21-Apr,"Delicately fruit-toned, sweetly herbaceous. Dried mango, cocoa nib, lemon verbena, almond, star jasmine in aroma and cup. Sweet-tart structure with gently bright acidity; full, viscous mouthfeel. Long, resounding flavor-saturated finish."
Ethiopia Guji Shakiso Dambi Udo Natural Anaerobic,Coffee Please,Medium-Light,Taiwan,Guji Zone,Southern Ethiopia,5.12,94,21-Apr,"Deeply aromatic, sweet-savory. Grape candy, dark chocolate, lavender, shiitake mushroom, cedar in aroma and cup. Sweetly savory structure with gentle, round acidity; full, syrupy mouthfeel. Savory-tending finish consolidates to notes of Shiitake mushroom and lavender."
Ethiopia Natural Guji,Kakalove Cafe,Medium-Light,Taiwan,Guji Zone,Oromia Region,2.97,94,21-Apr,"Evaluated as espresso. Cleanly fruit-toned, deep, complex. Pomegranate, narcissus, lemon-thyme, chocolate fudge, sandalwood in aroma and small cup. Creamy mouthfeel; richly chocolaty finish with undertones of sandalwood. The milk shot is chocolaty through and through, fudge-like in its depth, complicated by sweet-tart pomegranate notes."
Costa Rica Yellow Honey Kinka Bear Lot 20-02,Kakalove Cafe,Medium-Light,Taiwan,Costa Rica,Guji Zone,3.54,94,21-Apr,"Evaluated as espresso. Rich-toned, bright, chocolaty. Tamarind, pink grapefruit zest, dark chocolate, hazelnut butter, fresh-cut cedar in aroma and small cup. Syrupy-smooth mouthfeel; richly bittersweet finish with notes of dark chocolate and pink grapefruit zest. In three parts milk, nut and dark chocolate notes pleasingly dominate."
Ethiopia Guji Shakiso Dambi Udo Honey,Coffee Please,Light,Taiwan,Guji Zone,Southern Ethiopia,4.98,94,21-Apr,"Delicately sweet-tart, rich-toned. Dried apricot, dark chocolate, hazelnut butter, gardenia, marjoram in aroma and cup. Sweet structure with tart, juicy acidity; full, satiny-smooth mouthfeel. The quiet finish centers around dried apricot and hazelnut."
Kenya Washed Nyeri Gichathaini Factory AB,Kakalove Cafe,Medium-Light,Taiwan,Yeri Growing Region,South-Central Kenya,5.52,94,21-Apr,"Richly sweet-savory, multi-layered, deeply floral. Honeysuckle, red currant, ripe tomato, cedar, dark chocolate in aroma and cup. Balanced, bittersweet structure with bright, juicy acidity; plush, syrupy-smooth mouthfeel. Chocolate-driven finish with undertones of honeysuckle and red currant."
Colombia Pink Bourbon Honey,Bird Rock Coffee Roasters,Medium-Light,United States,Huila Department,Colombia,8.52,95,21-Apr,"Bright, juicy, high-toned. Guava, almond butter, wild honey, tangerine zest, narcissus-like flowers in aroma and cup. Richly sweet, elegantly tart structure with high-toned, vibrant acidity; very full, syrupy mouthfeel. The long, lingering, flavor-saturated finish carries forward all the notes from the cup."
Karatina Kenya,JBC Coffee Roasters,Medium-Light,United States,Nyeri Growing Region,South-Central Kenya,6.47,95,21-Apr,"Richly aromatic, deeply complex. Tamarind, narcissus, black currant, ripe tomato, cocoa nib in aroma and cup. Sweet-savory structure with juicy-tart acidity; very full, syrupy-smooth mouthfeel. Savory-leaning finish driven by notes of ripe tomato and cocoa nib with undertones of black currant and cedar."
Cerro Azul Geisha,JBC Coffee Roasters,Light,United States,Trujillo,Valle Del Cauca Department,12.35,95,21-Apr,"Elegantly fruit-forward, richly floral-toned. Star jasmine, lychee, frankincense, Meyer lemon zest, wild honey in aroma and cup. Bright, lyrical structure with zesty acidity; creamy, full mouthfeel. Long, rich, resonant finish redolent of jasmine and lychee."
Kona SL34 Sweet Spot,Kona Farm Direct,Medium-Light,Hawai'i,Kona Growing Region,Big Island Of Hawai’I,25.17,94,21-Apr,"Juicy, bright, tropical. Pineapple, myrrh, coconut, freesia-like flowers, almond brittle in aroma and cup. Sweet-tart structure with juicy, lively acidity; plush, syrupy mouthfeel. The finish leads with notes of pineapple and freesia, rounding to almond and coconut in the long."
Haraaz Red,JBC Coffee Roasters,Medium-Light,United States,Haraaz Growing Region,Yemen,7.72,95,21-Apr,"Deeply spice-toned, singular and complex. Dried red currant, sandalwood, fresh cinnamon, dark chocolate, brown sugar in aroma and cup. Richly sweet with wine-toned acidity; viscous, full mouthfeel. The spice-toned finish is supported by notes of dark chocolate and red currant."
Suyusama Colombia,Bird Rock Coffee Roasters,Medium-Light,United States,Nariño Region,Antioquia Department,5.58,93,21-Apr,"Chocolaty, sweetly nut-toned. Baking chocolate, hazelnut butter, Bing cherry, cedar, maple syrup in aroma and cup. Sweet in structure with brisk acidity; lightly syrupy mouthfeel. The resonant finish leads with notes of baking chocolate and hazelnut (think Nutella) with undertones of cherry."
Private Reserve Colombia Antioquia,San Francisco Bay Coffee,Medium-Light,United States,Antioquia Department,Colombia,4.17,91,21-Apr,"Cocoa-toned, balanced. Cocoa powder, date, magnolia, orange zest, hazelnut in aroma and cup. Sweet in structure with gentle, round acidity; satiny-smooth mouthfeel. The gently drying finish centers around notes of cocoa powder and orange zest with undertones of magnolia."
Las Brisas Colombia,JBC Coffee Roasters,Medium-Light,United States,Paez Region,Cauca Department,4.76,93,21-Apr,"Crisp, vibrant, high-toned. Red grape, milk chocolate, freesia-like flower, hazelnut, a hint of rosemary in aroma and cup. Sweetly tart with juicy-bright acidity; satiny-smooth mouthfeel. Sweetly herbaceous, gently floral finish."
Private Reserve Rwanda Huye,San Francisco Bay Coffee,Medium-Light,United States,Huye District,Southern Rwanda,4.17,90,21-Apr,"Sweetly nut- and cocoa-toned. Baking chocolate, almond, raisin, lily, fresh-cut fir in aroma and cup. Sweet-toned structure with brisk acidity; velvety mouthfeel. Wood-framed finish with notes of fir and baking chocolate."
Ethiopia Sidamo G2 Washed,Cheer Beans,Light,Taiwan,Sidama (Also Sidamo) Growing Region,Southern Ethiopia,6.34,92,21-Apr,"Blind assessment: Delicately floral-toned. Lilac, pear, maple syrup, almond, orange zest in aroma and cup. Crisply sweet with brisk acidity; lightly satiny mouthfeel. Almond and caramel notes lead the quiet, pleasing finish."
Private Reserve Panama La Huaca,San Francisco Bay Coffee,Medium,United States,Renacimiento District,Chiriquí Province,4.17,88,21-Apr,"Gently fruit-toned, wood-framed. Prune, balsa wood, cashew, lemon zest, a hint of gardenia in aroma and cup. Sweet-savory structure with gently bittersweet acidity; velvety mouthfeel. Notes of balsa wood and cashew drive the finish."
Costa Rica Gesha Tobosi Natural,RamsHead Coffee Roasters,Medium-Light,United States,El Guarco,Cartago Province,8.8,93,21-Apr,"Richly fruit- and floral-toned. Raspberry, honeysuckle, praline, marjoram, oak in aroma and cup. Sweet-tart structure with crisp, citrusy acidity; viscous, syrupy mouthfeel. The rich-toned finish consolidates to notes of praline and fresh-cut oak."
Kenya Kiambu Kiriga AA,Coffee By Design,Medium-Light,United States,Kiambu Growing Region,South-Central Kenya,4.08,93,21-Apr,"Vibrant, sweet-savory, floral-toned. Cocoa nib, red currant, myrrh, honeysuckle, hop flowers in aroma and cup. Sweetly savory structure with juicy acidity; crisp, lightly syrupy mouthfeel. The resonant finish centers on red currant and hop flowers in the short, cocoa nib and myrrh in the long."
Guatemala Coban Finca Valmar,CofFeeling,Medium-Light,Taiwan,Coban,Guatemala,4.65,92,21-May,"Evaluated as espresso. Delicate, sweetly nut-toned. Cashew butter, prairie flowers, fresh-cut fir, caramel, a hint of pear in aroma and small cup. Velvety-smooth mouthfeel; richly nut-framed finish. Nutty through and through in milk, evoking rich cashew butter."
Colombia Caldas Finca Villa Clara Supremo,CofFeeling,Medium-Light,Taiwan,Caldas,Colombia,3.52,92,21-May,"Evaluated as espresso. Richly sweet, crisply chocolaty. Dark chocolate, date, magnolia, oak, a hint of marjoram in aroma and small cup. Satiny mouthfeel; crisp, chocolaty finish. In cappuccino-scaled milk, deep chocolate notes are further animated, as are magnolia-like florals."
The World Espresso Blend,Euphora Coffee,Medium-Light,Taiwan,Guatemala,Nicaragua,2.2,93,21-May,"Evaluated as espresso. Richly sweet, multi-layered. Baking chocolate, honeysuckle, black cherry, hazelnut, fresh-cut oak in aroma and small cup. Creamy, viscous mouthfeel; chocolaty, nut-toned finish. In cappuccino-scaled milk, dark chocolate and black cherry take center stage."
Ethiopia Sidamo Euphora Special Lot,Euphora Coffee,Medium-Light,Taiwan,Sidamo Growing Region,South-Central Ethiopia,4.41,93,21-May,"Brightly sweet, richly tart. Rose hips, dried nectarine, frangipane, cedar, agave syrup in aroma and cup. Tart-leaning structure with pert acidity; smooth, syrupy mouthfeel. Finish consolidates to notes of rose hips and cedar."
Finca Lerida Gesha Natural,Thanksgiving Coffee Company,Medium-Light,United States,Jaramillo,Boquete Growing Region,13.23,92,21-May,"Richly sweet, floral-toned. Magnolia, date, almond, caramel, fresh-cut cedar in aroma and cup. Sweet structure with gentle, round acidity; full, syrupy-smooth mouthfeel. Floral and nut-toned finish."
Ethiopia Guji Uraga Yabitu,Sunny's Coffee,Light,Japan,Guji Zone,Oromia Region,9.22,92,21-May,"Citrusy and sweetly herbaceous, cocoa-toned. Cocoa nib, marjoram, pink grapefruit zest, nougat, cedar in aroma and cup. Sweetly savory with juicy acidity; silky-smooth mouthfeel. The finish consolidates to notes of cocoa nib, marjoram and nougat."
Ethiopia Guji Hambela Dabaye,Sunny's Coffee,Light,Japan,Guji Zone,Oromia Region,9.22,91,21-May,"Gently fruit-toned, sweetly tart. Plum, cocoa nib, lemon verbena, oak, maple syrup in aroma and cup. Crisp, high-toned with juicy acidity; satiny mouthfeel. The sweetly herbaceous finish is driven by lemon verbena and maple syrup notes with oak undertones."
Ethiopia Dry-Process Guji Hambela,Sunny's Coffee,Light,Japan,Guji Zone,Oromia Region,9.22,90,21-May,"Balanced, delicate, floral-toned. Dogwood flowers, baking chocolate, apricot, cedar, agave syrup in aroma and cup. Sweet-toned with balanced acidity; satiny-smooth mouthfeel. Chocolaty, gently floral finish with a cedar throughline."
Ethiopia Dry-Process Benti Nenka,Sunny's Coffee,Light,Japan,Yirgacheffe Growing Region,Southern Ethiopia,9.22,90,21-May,"Delicate, crisply sweet. Prairie flowers, fresh-cut fir, almond, orange zest, date in aroma and cup. Sweet-tart structure with brisk acidity; lightly satiny mouthfeel. Wood-framed finish with undertones of orange zest and almond."
Papua New Guinea Tsekaka,Magnolia Coffee,Medium-Light,United States,Banz,Jiwaka Province,4.7,92,21-May,"Deep-toned, chocolaty. Dark chocolate, graham cracker, marshmallow, dried cranberry, lily in aroma and cup. Sweet in structure with gentle, round acidity; very syrupy-smooth mouthfeel. Chocolaty finish with floral undertones."
Kona Maragogype Natural,Paradise Roasters,Medium-Light,United States,Kainaliu,Kona,26.41,94,21-Apr,"Deeply and richly sweet, resonantly aromatic. Dried mango, wild honey, lilac, pistachio, tangerine zest in aroma and cup. Juicy-sweet structure with refined acidity; lush, syrupy mouthfeel. The finish centers around notes of mango, honey and pistachio."
Thung Chang Robusta Honey Espresso,Paradise Roasters,Medium,United States,Nan Province,Thailand,4.98,92,21-Apr,"Evaluated as espresso. Gently roast-toned, nut-framed. Cashew butter, cocoa powder, fig newton, lily, cedar in aroma and small cup. Crisp, satiny mouthfeel; bittersweet, crisply nutty finish. In three parts milk, sweet pecan and cocoa powder quietly harmonize."
Thung Chang Robusta Honey,Paradise Roasters,Medium,United States,Nan Province,Thailand,4.98,90,21-Apr,"Deep-toned, richly bittersweet. Hop flowers, cocoa powder, goji berry, lemon zest, pecan in aroma and cup. Bittersweet structure with low-toned, crisp acidity; very full, creamy mouthfeel. Notes of pecan and cocoa characterize the gentle finish."
Colombia Jorge Eli Dussan,Amavida Coffee Roasters,Medium-Light,United States,Tolima,Colombia,5.88,93,21-Apr,"Chocolaty and deep-toned. Date, baking chocolate, hazelnut butter, honeysuckle, cedar in aroma and cup. Vibrantly sweet, resonant acidity; satiny, full mouthfeel. Chocolate and richly wood-framed finish."
Ethiopia Kochere G1,David's Nose,Medium-Light,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,5.66,93,21-Apr,"Bittersweet, cleanly fruit-toned. Dark chocolate, raspberry, pink grapefruit zest, almond butter, lilac in aroma and cup. Deeply sweet structure with brisk acidity; syrupy-smooth mouthfeel. The finish centers around notes of dark chocolate and raspberry."
Ethiopia Limu Washed,Jade Cafe,Light,Taiwan,Oromia Growing Region,Southern Ethiopia,8.53,93,21-Apr,"Delicately sweet-tart. Apricot, cocoa nib, hazelnut, Meyer lemon zest, hyacinth in aroma and cup. Sweetly tart structure with vibrant, citrusy acidity; smooth, satiny mouthfeel. Cocoa-toned finish supported by notes of stone fruit and sweet citrus zest."
Life in Dihua Street Espresso Blend,David's Nose,Medium-Light,Taiwan,Ethiopia,Nicaragua,6.37,93,21-Apr,"Evaluated as espresso. Delicately sweet, richly tart. Mango, cocoa nib, marzipan, narcissus, a hint of dill in aroma and small cup. Very syrupy mouthfeel; cocoa-driven finish with undertones of mango. Fruit-forward and high-toned in three parts milk."
Colombia Huila Acevedo El Paraiso,Big Shoulders Coffee ,Medium-Light,United States,Huila Department,Colombia,7.35,94,21-May,"Bright, juicy, fruit-toned. Lychee, plum blossom, Meyer lemon zest, sandalwood, nougat in aroma and cup. Sweetly tart structure with vibrant acidity; plush, syrupy mouthfeel. The finish consolidates to attractive notes of lychee and nougat with sandalwood undertones."
100% Organic Specialty Arabica,Colibrije Specialty Coffee,Medium,Mexico,Chiapas State,Mexico,5.73,91,21-May,"Rich-toned, chocolaty. Baking chocolate, almond nougat, date, fresh-cut fir, a hint of gardenia in aroma and cup. Sweet in structure with gentle, round acidity; full, velvety-smooth mouthfeel. The gently drying finish is chocolaty and richly sweet."
Love of Desolate,Desolate Cafe,Medium-Light,Taiwan,Los Angeles,Sabanilla De Alajuela,7.05,96,21-May,"Rich-toned, juicy, complex. Dried persimmon, wild honey, myrrh, almond butter, star jasmine in aroma and cup. Sweet-tart structure with high-toned, vibrant acidity; very full, syrupy-smooth mouthfeel. Long, lingering, rich finish that honors all of the cup’s aromatics."
Blend No.7 Berrichee,Quartet Kaffe,Medium-Light,Taiwan,Ethiopia,Colombia,6.72,95,21-May,"Evaluated as espresso. Chocolaty, fruit-toned, savory-sweet. Chocolate fudge, pomegranate, saltwater taffy, frankincense, hop flowers in aroma and small cup. Creamy mouthfeel; complex, resonant finish. The milk shot is equal parts chocolaty, floral, and fruity."
Ethiopia Niguse Gemeda Mude Natural,Desolate Cafe,Medium-Light,Taiwan,Hayisa Village,Bure Woreda,12.69,94,21-May,"Richly and cleanly fruit-forward. Dried apricot, freesia-like flowers, nougat, cocoa nib, cedar in aroma and cup. Sweet-toned with juicy, bright acidity; rich, satiny mouthfeel. Flavor consolidates to pretty notes of dried apricot and nougat with undertones of cedar."
Rwanda Nyamagabe Kigeme Lot #4,Small Eyes Cafe,Light,Taiwan,Nyamagabe District,Southern Province,5.12,93,21-May,"Crisply sweet, deeply rich. Baking chocolate, hazelnut nougat, narcissus, red grape, fresh-cut oak in aroma and cup. Sweet, balanced structure with brisk acidity; plush, syrupy mouthfeel. The finish centers around notes of baking chocolate and hazelnut supported by red grape and fresh-cut oak."
Ethiopia Guji Wush Wush Anaerobic Natural,Coffee Please,Medium-Light,Taiwan,Guji Zone,Oromia Region,7.89,95,21-May,"Delicately bright, balanced, crisply sweet. Bing cherry, cocoa nib, lemon yogurt, lavender, fresh-cut oak in aroma and cup. Sweetly tangy with gently lactic, savory-edged acidity; silky, buoyant mouthfeel. A fruit-driven finish is supported by cocoa nib with a continued gentle lactic tang."
Ethiopia Guji Wush Wush,Paradise Roasters,Medium-Light,United States,Guji Zone,Oromia Region,7.33,95,21-May,"Juicy, bright, confidently fruit- and floral-toned. Candy cap mushroom, dark chocolate, kefir, plumeria, mesquite in aroma and cup. Tangy-sweet structure with lactic-toned acidity; plush, syrupy mouthfeel. Long, resonant, flavor-saturated finish."
Tres Dragones Colombia,Bird Rock Coffee Roasters,Medium-Light,United States,Caicedonia,Valle De Cauca Department,7.35,94,21-May,"Pungently sweet-savory, deep, expressive. Dark chocolate, dried mango, fine musk, rum barrel, honeysuckle in aroma and cup. Richly sweet-savory structure with roundly tart acidity; full, creamy mouthfeel. Particularly musky, fruit-toned finish with dark chocolate undertones."
Panama Elida Estate Catuaí Natural ASD,Willoughby's Coffee & Tea,Medium-Light,United States,Boquete Growing Region,Western Panama,7.27,94,21-May,"Lactic, chocolaty, sweetly tart. Young goat cheese, dark chocolate, roasted pine nut, persimmon, fresh-cut cedar in aroma and cup. Tart-sweet structure with deeply tangy, lactic acidity; very full, syrupy-smooth mouthfeel. Finish consolidates to an attractive chocolate-toned kefir."
Ethiopia Guji Natural Anaerobic Wush Wush G1,De Clieu Coffee,Medium-Light,Taiwan,Sidama Growing Region,Southern Ethiopia,9.2,93,21-May,"Earth-toned, richly sweet-savory. Moist cedar, breadfruit, magnolia, cocoa powder, musk. Savory-leaning with sweetly brisk acidity; light-footed, smooth mouthfeel. A hazelnut-like note emerges in the finish, alongside cocoa powder and moist cedar."
Peru Yanesha Geisha Double-Anaerobic,Fumi Coffee,Medium-Light,Taiwan,Villa Rica,Oxapampa Province,15.58,93,21-May," Crisply chocolaty, delicately sweet. Baking chocolate, vanilla bean, pink peppercorn, lavender, cedar in aroma and cup. Crisply sweet, balanced structure with bright but lush acidity; delicately silky mouthfeel. Wood-framed finish with undertones of vanilla and lavender."
